Days for shipping (real),Days for shipment (scheduled),Delivery Status,Customer Segment,Latitude,Longitude,Order City,order date (DateOrders),Order Item Id,Order Item Quantity,Order State,Order Status,shipping date (DateOrders),Shipping Mode,User ID,Admin Recomended Slots/Previous Optimized Delivered Slots,Parcel Delivered in This Slot,Machine Prediction
4.0,4.0,Shipping on time,Corporate,33.35738754,-111.9551849,Delhi,11-02-2015 15:09,52309.0,4.0,Delhi,PENDING_PAYMENT,11-06-2015 15:09,Standard Class,12148.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Corporate,33.35738754,-111.9551849,Delhi,11-02-2015 15:09,52308.0,4.0,Delhi,PENDING_PAYMENT,11-06-2015 15:09,Standard Class,12148.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Corporate,33.35738754,-111.9551849,Delhi,11-02-2015 15:09,52310.0,2.0,Delhi,PENDING_PAYMENT,11-06-2015 15:09,Standard Class,12148.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Consumer,18.23617172,-66.3706131,Tiruppur,11/17/2015 20:34,54989.0,3.0,Tamil Nadu,PENDING_PAYMENT,11/19/2015 20:34,First Class,12154.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Consumer,18.23617172,-66.3706131,Tiruppur,11/17/2015 20:34,54988.0,1.0,Tamil Nadu,PENDING_PAYMENT,11/19/2015 20:34,First Class,12154.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
4.0,2.0,Late delivery,Consumer,18.29062271,-66.37055969,Chennai,11/29/2015 18:48,57059.0,1.0,Tamil Nadu,PROCESSING,12-03-2015 18:48,Second Class,12158.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
4.0,2.0,Late delivery,Consumer,18.29062271,-66.37055969,Chennai,11/29/2015 18:48,57060.0,1.0,Tamil Nadu,PROCESSING,12-03-2015 18:48,Second Class,12158.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Corporate,30.24816895,-97.89083099,Mumbai,12/29/2015 4:02,62152.0,1.0,Maharashtra,PENDING_PAYMENT,12/31/2015 4:02,Standard Class,12207.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Corporate,30.24816895,-97.89083099,Mumbai,12/29/2015 4:02,62151.0,1.0,Maharashtra,PENDING_PAYMENT,12/31/2015 4:02,Standard Class,12207.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Corporate,30.24816895,-97.89083099,Mumbai,12/29/2015 4:02,62154.0,4.0,Maharashtra,PENDING_PAYMENT,12/31/2015 4:02,Standard Class,12207.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Corporate,30.24816895,-97.89083099,Mumbai,12/29/2015 4:02,62155.0,5.0,Maharashtra,PENDING_PAYMENT,12/31/2015 4:02,Standard Class,12207.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Corporate,30.24816895,-97.89083099,Mumbai,12/29/2015 4:02,62153.0,5.0,Maharashtra,PENDING_PAYMENT,12/31/2015 4:02,Standard Class,12207.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
6.0,4.0,Late delivery,Consumer,18.28635979,-66.37052918,Aurangabad,12/20/2015 2:29,60515.0,1.0,Maharashtra,PENDING_PAYMENT,12/26/2015 2:29,Standard Class,12211.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
6.0,4.0,Late delivery,Consumer,18.28635979,-66.37052918,Aurangabad,12/20/2015 2:29,60514.0,1.0,Maharashtra,PENDING_PAYMENT,12/26/2015 2:29,Standard Class,12211.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,18.28635979,-66.37052918,Aurangabad,12/20/2015 2:29,60513.0,2.0,Maharashtra,PENDING_PAYMENT,12/26/2015 2:29,Standard Class,12211.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,41.89448166,-87.77452087,Kozhikode,3/14/2016 1:29,75036.0,4.0,Kerala,PROCESSING,3/20/2016 1:29,Standard Class,12233.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,41.89448166,-87.77452087,Kozhikode,3/14/2016 1:29,75037.0,1.0,Kerala,PROCESSING,3/20/2016 1:29,Standard Class,12233.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Consumer,41.89448166,-87.77452087,Bilaspur,12/27/2015 22:58,61942.0,1.0,Uttar Pradesh,PENDING_PAYMENT,12/31/2015 22:58,Standard Class,12233.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Consumer,41.89448166,-87.77452087,Kozhikode,3/14/2016 1:29,75035.0,1.0,Kerala,PROCESSING,3/20/2016 1:29,Standard Class,12233.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,41.89448166,-87.77452087,Kozhikode,3/14/2016 1:29,75038.0,1.0,Kerala,PROCESSING,3/20/2016 1:29,Standard Class,12233.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,41.89448166,-87.77452087,Kozhikode,3/14/2016 1:29,75039.0,2.0,Kerala,PROCESSING,3/20/2016 1:29,Standard Class,12233.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Corporate,18.23427773,-66.37054443,Surat,12-02-2015 16:52,57565.0,1.0,Guyarat,COMPLETE,12-06-2015 16:52,Standard Class,12234.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Corporate,18.23427773,-66.37054443,Surat,12-02-2015 16:52,57563.0,1.0,Guyarat,COMPLETE,12-06-2015 16:52,Standard Class,12234.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
4.0,4.0,Shipping on time,Corporate,18.23427773,-66.37054443,Surat,12-02-2015 16:52,57564.0,4.0,Guyarat,COMPLETE,12-06-2015 16:52,Standard Class,12234.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
4.0,4.0,Shipping on time,Corporate,18.23427773,-66.37054443,Surat,12-02-2015 16:52,57562.0,2.0,Guyarat,COMPLETE,12-06-2015 16:52,Standard Class,12234.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
0.0,0.0,Shipping on time,Consumer,18.26982689,-66.37055206,Mumbai,2/21/2016 7:49,71371.0,1.0,Maharashtra,CLOSED,2/21/2016 19:49,Same Day,12258.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
0.0,0.0,Shipping on time,Consumer,18.26982689,-66.37055206,Mumbai,2/21/2016 7:49,71372.0,2.0,Maharashtra,CLOSED,2/21/2016 19:49,Same Day,12258.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
5.0,2.0,Late delivery,Consumer,45.44006348,-84.77752686,Pune,1/30/2016 14:51,67724.0,1.0,Maharashtra,PENDING,02-04-2016 14:51,Second Class,12283.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
5.0,2.0,Late delivery,Consumer,45.44006348,-84.77752686,Pune,1/30/2016 14:51,67725.0,1.0,Maharashtra,PENDING,02-04-2016 14:51,Second Class,12283.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5.0,2.0,Late delivery,Consumer,45.44006348,-84.77752686,Pune,1/30/2016 14:51,67728.0,1.0,Maharashtra,PENDING,02-04-2016 14:51,Second Class,12283.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
5.0,2.0,Late delivery,Consumer,45.44006348,-84.77752686,Pune,1/30/2016 14:51,67726.0,2.0,Maharashtra,PENDING,02-04-2016 14:51,Second Class,12283.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
5.0,2.0,Late delivery,Consumer,45.44006348,-84.77752686,Pune,1/30/2016 14:51,67727.0,3.0,Maharashtra,PENDING,02-04-2016 14:51,Second Class,12283.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
4.0,2.0,Shipping canceled,Consumer,37.78337097,-77.20753479,Ranchi,01-07-2016 19:58,63811.0,1.0,Jharkhand,CANCELED,01-11-2016 19:58,Second Class,12290.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
4.0,2.0,Shipping canceled,Consumer,37.78337097,-77.20753479,Ranchi,01-07-2016 19:58,63810.0,5.0,Jharkhand,CANCELED,01-11-2016 19:58,Second Class,12290.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Corporate,18.27024651,-66.37050629,Bhubaneswar,01-01-2016 16:07,62769.0,1.0,Odisha,PROCESSING,01-03-2016 16:07,Standard Class,12295.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Corporate,18.27024651,-66.37050629,Bhubaneswar,01-01-2016 16:07,62768.0,1.0,Odisha,PROCESSING,01-03-2016 16:07,Standard Class,12295.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,18.26904106,-66.37055969,Gorakhpur,11-02-2015 14:06,52301.0,5.0,Haryana,COMPLETE,11-08-2015 14:06,Standard Class,12301.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,18.26904106,-66.37055969,Gorakhpur,11-02-2015 14:06,52300.0,1.0,Haryana,COMPLETE,11-08-2015 14:06,Standard Class,12301.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,18.24955368,-66.37062836,Asansol,2/16/2016 4:30,70448.0,1.0,Bengala Occidental,COMPLETE,2/21/2016 4:30,Standard Class,12305.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,18.24955368,-66.37062836,Asansol,2/16/2016 4:30,70446.0,1.0,Bengala Occidental,COMPLETE,2/21/2016 4:30,Standard Class,12305.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,18.24955368,-66.37062836,Asansol,2/16/2016 4:30,70449.0,1.0,Bengala Occidental,COMPLETE,2/21/2016 4:30,Standard Class,12305.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,18.24955368,-66.37062836,Asansol,2/16/2016 4:30,70445.0,3.0,Bengala Occidental,COMPLETE,2/21/2016 4:30,Standard Class,12305.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Consumer,18.24955368,-66.37062836,Bihar Sharif,11-07-2015 15:19,53225.0,5.0,Bihar,CLOSED,11-09-2015 15:19,Standard Class,12305.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,18.24955368,-66.37062836,Asansol,2/16/2016 4:30,70447.0,1.0,Bengala Occidental,COMPLETE,2/21/2016 4:30,Standard Class,12305.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
3.0,4.0,Advance shipping,Consumer,18.29119682,-66.37059784,Rajkot,1/19/2016 18:54,65818.0,1.0,Guyarat,ON_HOLD,1/22/2016 18:54,Standard Class,12314.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
3.0,4.0,Advance shipping,Consumer,18.29119682,-66.37059784,Rajkot,1/19/2016 18:54,65821.0,3.0,Guyarat,ON_HOLD,1/22/2016 18:54,Standard Class,12314.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
3.0,4.0,Advance shipping,Consumer,18.29119682,-66.37059784,Rajkot,1/19/2016 18:54,65820.0,5.0,Guyarat,ON_HOLD,1/22/2016 18:54,Standard Class,12314.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Consumer,18.29119682,-66.37059784,Rajkot,1/19/2016 18:54,65819.0,1.0,Guyarat,ON_HOLD,1/22/2016 18:54,Standard Class,12314.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
4.0,4.0,Shipping on time,Home Office,18.29429245,-66.37052918,Jhansi,03-03-2016 23:03,73358.0,1.0,Uttar Pradesh,COMPLETE,03-07-2016 23:03,Standard Class,12324.0,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM,03:00 PM - 05:00 PM
4.0,4.0,Shipping on time,Home Office,18.29429245,-66.37052918,Jhansi,03-03-2016 23:03,73357.0,1.0,Uttar Pradesh,COMPLETE,03-07-2016 23:03,Standard Class,12324.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
5.0,4.0,Late delivery,Consumer,37.62343597,-121.1197205,Kalyan,1/17/2016 20:18,65481.0,4.0,Maharashtra,PROCESSING,1/22/2016 20:18,Standard Class,12330.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,4.0,Late delivery,Consumer,37.62343597,-121.1197205,Kalyan,1/17/2016 20:18,65482.0,1.0,Maharashtra,PROCESSING,1/22/2016 20:18,Standard Class,12330.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
5.0,4.0,Late delivery,Consumer,37.62343597,-121.1197205,Kalyan,1/17/2016 20:18,65480.0,1.0,Maharashtra,PROCESSING,1/22/2016 20:18,Standard Class,12330.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Consumer,35.81311417,-84.17388916,Bangalore,12/22/2015 18:14,60960.0,1.0,Karnataka,PENDING_PAYMENT,12/24/2015 18:14,First Class,12335.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Consumer,35.81311417,-84.17388916,Bangalore,12/22/2015 18:14,60959.0,5.0,Karnataka,PENDING_PAYMENT,12/24/2015 18:14,First Class,12335.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,35.81311417,-84.17388916,Guntur,01-05-2016 07:22,63388.0,1.0,Andhra Pradesh,COMPLETE,01-11-2016 07:22,Standard Class,12335.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Consumer,35.81311417,-84.17388916,Guntur,01-05-2016 07:22,63389.0,3.0,Andhra Pradesh,COMPLETE,01-11-2016 07:22,Standard Class,12335.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,35.81311417,-84.17388916,Guntur,01-05-2016 07:22,63387.0,2.0,Andhra Pradesh,COMPLETE,01-11-2016 07:22,Standard Class,12335.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
5.0,2.0,Late delivery,Home Office,37.34420395,-121.9884415,Raipur,10/25/2015 6:03,50840.0,1.0,Rajastan,ON_HOLD,10/30/2015 6:03,Second Class,12346.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
5.0,2.0,Late delivery,Home Office,37.34420395,-121.9884415,Raipur,10/25/2015 6:03,50841.0,2.0,Rajastan,ON_HOLD,10/30/2015 6:03,Second Class,12346.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Corporate,37.1289444,-86.29595184,Bareilly,11/18/2015 16:11,55121.0,1.0,Uttar Pradesh,PENDING_PAYMENT,11/20/2015 16:11,First Class,12351.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,37.1289444,-86.29595184,Bareilly,11/18/2015 16:11,55120.0,2.0,Uttar Pradesh,PENDING_PAYMENT,11/20/2015 16:11,First Class,12351.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,37.1289444,-86.29595184,Bareilly,11/18/2015 16:11,55122.0,4.0,Uttar Pradesh,PENDING_PAYMENT,11/20/2015 16:11,First Class,12351.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Consumer,18.26842308,-66.37059021,Bhilai,11-03-2015 06:34,52437.0,1.0,Chhattisgarh,PENDING_PAYMENT,11-05-2015 06:34,First Class,12361.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Consumer,18.26842308,-66.37059021,Bhilai,11-03-2015 06:34,52440.0,1.0,Chhattisgarh,PENDING_PAYMENT,11-05-2015 06:34,First Class,12361.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Consumer,18.26842308,-66.37059021,Bhilai,11-03-2015 06:34,52438.0,1.0,Chhattisgarh,PENDING_PAYMENT,11-05-2015 06:34,First Class,12361.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Consumer,18.26842308,-66.37059021,Bhilai,11-03-2015 06:34,52439.0,2.0,Chhattisgarh,PENDING_PAYMENT,11-05-2015 06:34,First Class,12361.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Consumer,32.25922394,-110.9718781,Jodhpur,2/24/2016 19:33,71988.0,2.0,Rajastan,CLOSED,2/26/2016 19:33,First Class,12362.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Consumer,32.25922394,-110.9718781,Jodhpur,2/24/2016 19:33,71989.0,3.0,Rajastan,CLOSED,2/26/2016 19:33,First Class,12362.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
2.0,1.0,Late delivery,Home Office,18.28599739,-66.37062836,Jodhpur,12-09-2015 03:22,58639.0,2.0,Rajastan,CLOSED,12-11-2015 03:22,First Class,12365.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Home Office,18.28599739,-66.37062836,Jodhpur,12-09-2015 03:22,58638.0,1.0,Rajastan,CLOSED,12-11-2015 03:22,First Class,12365.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Home Office,18.28599739,-66.37062836,Jodhpur,12-09-2015 03:22,58637.0,1.0,Rajastan,CLOSED,12-11-2015 03:22,First Class,12365.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Home Office,18.28599739,-66.37062836,Jodhpur,12-09-2015 03:22,58636.0,1.0,Rajastan,CLOSED,12-11-2015 03:22,First Class,12365.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,4.0,Advance shipping,Corporate,37.66836166,-77.65823364,Amravati,11-01-2015 08:41,52104.0,1.0,Maharashtra,CLOSED,11-03-2015 08:41,Standard Class,12380.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2.0,4.0,Advance shipping,Corporate,37.66836166,-77.65823364,Amravati,11-01-2015 08:41,52102.0,1.0,Maharashtra,CLOSED,11-03-2015 08:41,Standard Class,12380.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Corporate,37.66836166,-77.65823364,Amravati,11-01-2015 08:41,52105.0,1.0,Maharashtra,CLOSED,11-03-2015 08:41,Standard Class,12380.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,37.66836166,-77.65823364,Delhi,02-03-2016 02:35,68317.0,1.0,Delhi,PENDING_PAYMENT,02-05-2016 02:35,First Class,12380.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,37.66836166,-77.65823364,Delhi,02-03-2016 02:35,68320.0,3.0,Delhi,PENDING_PAYMENT,02-05-2016 02:35,First Class,12380.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Corporate,37.66836166,-77.65823364,Delhi,02-03-2016 02:35,68316.0,4.0,Delhi,PENDING_PAYMENT,02-05-2016 02:35,First Class,12380.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Corporate,37.66836166,-77.65823364,Delhi,02-03-2016 02:35,68318.0,5.0,Delhi,PENDING_PAYMENT,02-05-2016 02:35,First Class,12380.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,37.66836166,-77.65823364,Delhi,02-03-2016 02:35,68319.0,2.0,Delhi,PENDING_PAYMENT,02-05-2016 02:35,First Class,12380.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,4.0,Advance shipping,Corporate,37.66836166,-77.65823364,Amravati,11-01-2015 08:41,52103.0,2.0,Maharashtra,CLOSED,11-03-2015 08:41,Standard Class,12380.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,2.0,Shipping on time,Home Office,18.22637749,-66.37062836,Durgapur,1/15/2016 18:12,65108.0,1.0,Maharashtra,COMPLETE,1/17/2016 18:12,Second Class,12394.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
2.0,2.0,Shipping on time,Home Office,18.22637749,-66.37062836,Durgapur,1/15/2016 18:12,65107.0,1.0,Maharashtra,COMPLETE,1/17/2016 18:12,Second Class,12394.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
2.0,2.0,Shipping on time,Home Office,18.22637749,-66.37062836,Durgapur,1/15/2016 18:12,65109.0,1.0,Maharashtra,COMPLETE,1/17/2016 18:12,Second Class,12394.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,2.0,Shipping on time,Home Office,18.22637749,-66.37062836,Durgapur,1/15/2016 18:12,65106.0,2.0,Maharashtra,COMPLETE,1/17/2016 18:12,Second Class,12394.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,18.29413223,-66.37060547,Dehra Dun,2/19/2016 22:53,71144.0,1.0,Uttarakhand,COMPLETE,2/21/2016 22:53,First Class,12396.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,18.29413223,-66.37060547,Dehra Dun,2/19/2016 22:53,71147.0,3.0,Uttarakhand,COMPLETE,2/21/2016 22:53,First Class,12396.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
2.0,1.0,Late delivery,Corporate,18.29413223,-66.37060547,Dehra Dun,2/19/2016 22:53,71146.0,1.0,Uttarakhand,COMPLETE,2/21/2016 22:53,First Class,12396.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Corporate,18.29413223,-66.37060547,Dehra Dun,2/19/2016 22:53,71145.0,1.0,Uttarakhand,COMPLETE,2/21/2016 22:53,First Class,12396.0,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM
2.0,1.0,Late delivery,Corporate,18.29413223,-66.37060547,Dehra Dun,2/19/2016 22:53,71143.0,3.0,Uttarakhand,COMPLETE,2/21/2016 22:53,First Class,12396.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
3.0,4.0,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75669.0,3.0,Rajastan,PENDING,3/21/2016 0:46,Standard Class,24.0,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75667.0,3.0,Rajastan,PENDING,3/21/2016 0:46,Standard Class,24.0,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM
3.0,4.0,Advance shipping,Home Office,18.35124588,-65.96308899,Ajmer,3/18/2016 0:46,75668.0,5.0,Rajastan,PENDING,3/21/2016 0:46,Standard Class,24.0,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM,12:00 PM - 03:00 PM
6.0,2.0,Late delivery,Consumer,36.95009995,-76.24848938,Surat,12/14/2015 22:06,59650.0,1.0,Guyarat,PENDING,12/20/2015 22:06,Second Class,33.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
6.0,2.0,Late delivery,Consumer,36.95009995,-76.24848938,Surat,12/14/2015 22:06,59651.0,4.0,Guyarat,PENDING,12/20/2015 22:06,Second Class,33.0,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,01-02-2016 23:18,62993.0,1.0,Uttarakhand,PROCESSING,01-08-2016 23:18,Standard Class,39.0,03:00 PM - 05:00 PM,12:00 PM - 03:00 PM,03:00 PM - 05:00 PM
6.0,4.0,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,01-02-2016 23:18,62994.0,1.0,Uttarakhand,PROCESSING,01-08-2016 23:18,Standard Class,39.0,12:00 PM - 03:00 PM,10:00 AM - 12:00 PM,12:00 PM - 03:00 PM
6.0,4.0,Late delivery,Consumer,18.22408485,-66.04698181,Srinagar,01-02-2016 23:18,62995.0,1.0,Uttarakhand,PROCESSING,01-08-2016 23:18,Standard Class,39.0,10:00 AM - 12:00 PM,03:00 PM - 05:00 PM,10:00 AM - 12:00 PM
